grade,gender,interest,favor,chinese,patience,extras,study_hours,work_hours,club_hours,sleep_hours,commute_hours,score
0,1,1.0,5.0,1.0,1.0,3.0,0~1,0~1,0~1,3~5,1~2,80.0
0,0,2.0,4.0,2.0,3.0,3.0,0~1,0~1,0~1,5~6,0~1,80.0
0,0,2.0,4.0,4.0,4.0,3.0,0~1,0~1,5,6~8,1~2,80.0
0,0,4.0,5.0,3.0,3.0,0.0,1~2,1~2,1~2,6~8,0~1,82.0
0,1,4.0,4.0,1.0,3.0,2.5,3~4,3~4,0,6~8,0~1,95.0
0,0,2.0,4.0,4.0,4.0,2.0,0~1,1~2,0~1,5~6,1~2,59.0
0,0,4.0,5.0,1.0,3.0,0.0,1~2,0,0~1,6~8,1~2,92.0
0,0,4.0,5.0,2.0,4.0,0.0,0~1,0,1~2,5~6,1~2,90.0
0,0,5.0,5.0,3.0,4.0,0.0,5,0,0,6~8,1~2,72.0
0,1,1.0,3.0,4.0,1.0,1.0,0~1,0,0,6~8,0~1,56.0
0,1,4.0,4.0,3.0,3.0,2.0,0~1,1~2,0,6~8,0~1,93.0
0,1,4.0,5.0,3.0,5.0,0.0,5,0,2~3,6~8,1~2,84.0
0,1,3.0,4.0,3.0,4.0,0.0,2~3,0,0,8,0~1,84.0
0,1,4.0,4.0,1.0,3.0,3.5,0~1,2~3,0,6~8,1~2,100.0
0,0,3.0,5.0,2.0,2.0,0.0,2~3,0,0,6~8,1~2,45.0
0,0,3.0,5.0,5.0,3.0,4.0,0~1,3~4,0,6~8,2~3,84.0
0,1,5.0,5.0,2.0,4.0,3.0,1~2,0~1,0,6~8,0~1,76.0
0,1,4.0,5.0,1.0,1.0,4.0,0~1,2~3,1~2,3~5,1~2,90.0
0,1,2.0,5.0,2.0,1.0,0.0,0,0,0,5~6,0~1,27.0
0,0,2.0,4.0,2.0,3.0,3.0,0~1,0~1,0~1,5~6,0~1,80.0
0,0,5.0,5.0,1.0,1.0,4.0,0~1,1~2,0,6~8,1~2,88.0
0,0,1.0,3.0,2.0,1.0,0.0,0~1,0,0,6~8,0~1,76.0
0,1,4.0,3.0,4.0,3.0,3.0,3~4,3~4,0~1,8,1~2,83.0
0,0,3.0,3.0,4.0,4.0,0.0,0,0,0,3~5,1~2,78.0
0,1,4.0,5.0,1.0,4.0,0.0,2~3,0,4~5,8,0~1,85.0
0,0,3.0,5.0,4.0,4.0,4.0,4~5,4~5,3~4,3~5,2~3,75.0
0,0,4.0,5.0,3.0,4.0,3.0,1~2,1~2,0,3~5,0~1,81.0
0,1,4.0,4.0,3.0,4.0,4.0,3~4,3~4,0~1,5~6,0~1,94.0
0,1,4.0,4.0,3.0,4.0,3.0,0~1,0~1,0,3~5,1~2,88.0
0,0,1.0,3.0,4.0,1.0,0.0,0,0,0~1,3~5,1~2,63.0
0,0,2.0,4.0,3.0,3.0,2.0,1~2,0,0,5~6,0~1,91.0
0,1,4.0,5.0,2.0,3.0,3.5,0~1,3~4,0~1,8,0~1,75.0
0,0,3.0,3.0,2.0,2.0,0.0,1~2,0,1~2,6~8,0~1,83.0
0,1,4.0,5.0,3.0,1.0,0.0,0,0,0,5~6,0~1,91.0
0,0,2.0,5.0,4.0,3.0,3.0,2~3,2~3,0,5~6,0~1,83.0
0,0,4.0,4.0,4.0,3.0,5.0,1~2,5,1~2,5~6,0~1,88.0
0,1,1.0,5.0,4.0,1.0,0.0,0,0,2~3,6~8,0~1,20.0
0,0,1.0,2.0,3.0,3.0,4.0,0~1,4~5,0,5~6,0~1,85.0
0,0,4.0,5.0,3.0,3.0,0.0,1~2,0,0,6~8,0~1,63.0
0,0,3.0,3.0,4.0,3.0,2.0,0~1,0~1,0~1,6~8,0~1,76.0
0,0,1.0,5.0,4.0,2.0,3.0,3~4,3~4,1~2,5~6,0~1,57.0
0,0,5.0,4.0,2.0,2.0,2.0,2~3,0~1,0~1,6~8,1~2,97.0
0,0,1.0,2.0,4.0,1.0,2.5,0,2~3,0,5~6,2~3,29.0
0,1,5.0,5.0,2.0,5.0,0.0,0~1,0,0,6~8,0~1,94.0
0,0,3.0,4.0,3.0,3.0,1.0,0~1,0,0,6~8,0~1,37.0
0,0,4.0,5.0,3.0,5.0,0.0,1~2,0,0,6~8,0~1,61.0
0,1,4.0,5.0,4.0,4.0,3.5,1~2,3~4,1~2,6~8,0~1,91.0
0,1,4.0,5.0,3.0,4.0,0.0,1~2,0~1,0~1,3~5,1~2,87.0
0,0,4.0,5.0,3.0,3.0,0.0,1~2,0,1~2,6~8,1~2,91.0
0,1,4.0,5.0,2.0,3.0,3.5,0~1,0~1,0,6~8,0~1,82.0
0,1,1.0,4.0,4.0,1.0,0.0,0,0,1~2,8,1~2,19.0
0,1,3.0,3.0,3.0,3.0,0.0,1~2,0,3~4,6~8,0~1,56.0
0,0,5.0,3.0,3.0,4.0,0.0,0~1,0,5,5~6,1~2,85.0
0,0,3.0,2.0,4.0,2.0,0.0,0~1,0,3~4,5~6,2~3,90.0
0,1,4.0,5.0,3.0,3.0,3.0,1~2,1~2,1~2,6~8,1~2,93.0
0,0,3.0,3.0,2.0,4.0,3.0,0~1,0~1,0,6~8,0~1,100.0
0,0,3.0,4.0,5.0,5.0,0.0,0~1,0~1,0,5~6,0~1,86.0
0,1,4.0,5.0,4.0,4.0,0.0,3~4,2~3,1~2,5~6,2~3,91.0
0,1,4.0,5.0,2.0,3.0,2.0,0~1,1~2,0,6~8,0~1,94.0
0,1,5.0,5.0,3.0,4.0,0.0,3~4,0,0~1,5~6,0~1,91.0
0,0,3.0,3.0,1.0,3.0,0.0,2~3,2~3,5,5~6,0~1,79.0
0,1,4.0,4.0,2.0,3.0,2.0,1~2,0~1,0,6~8,1~2,91.0
0,1,2.0,4.0,3.0,4.0,3.5,0,0~1,0,5~6,0~1,76.0
0,1,5.0,4.0,3.0,2.0,3.0,1~2,1~2,0,5~6,0~1,89.0
0,1,3.0,4.0,4.0,4.0,0.0,0~1,0,5,6~8,1~2,72.0
