時間戳記,目前幾年級,生理性別,數學成績,對數學的喜好程度,對數學老師的喜好程度,自認國文「閱讀理解」程度,有無耐心閱讀數學題目,平均每週額外補數學的時間（家教或去補習班）,"平均每週花多少時間做以下事項
（e.g.剛好2小時請選「2~3 小時」） [讀數學（含練習題目、整理筆記）]","平均每週花多少時間做以下事項
（e.g.剛好2小時請選「2~3 小時」） [練習課外數學題（補習、家教作業皆算）]","平均每週花多少時間做以下事項
（e.g.剛好2小時請選「2~3 小時」） [社團活動（處理社團相關事務）]","平均每日睡眠時間
（e.g.剛好3小時請選「3~5小時」）","平均每日通勤時長：上學＋放學
（若有補習也要加上補習的通勤）","想參加抽獎請留下班級座號
（e.g. 二年9班3號請留20903，無法識別會取消資格ㄛ～）"
2023/10/30 下午 1:21:17,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,94,3,4,1,4,2.5小時,0~1小時,1~2小時,0小時,5~6小時,0~1小時,11317
2023/10/30 下午 1:21:23,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,88,4,5,2,3,0小時,0~1小時,0小時,0~1小時,5~6小時,0~1小時,11314
2023/10/30 下午 1:21:25,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,69,1,5,4,1,1小時以下,0~1小時,0~1小時,0~1小時,3~5小時,1~2小時,11318
2023/10/30 下午 1:21:33,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,75,3,3,2,2,3小時,1~2小時,1~2小時,0~1小時,5~6小時,0~1小時,
2023/10/30 下午 1:21:34,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,82,4,5,2,2,0小時,0~1小時,0小時,1~2小時,5~6小時,0~1小時,11310
2023/10/30 下午 1:21:40,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,80,1,5,1,1,3小時,0~1小時,0~1小時,0~1小時,3~5小時,1~2小時,11337
2023/10/30 下午 1:21:56,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,80,2,4,2,3,3小時,0~1小時,0~1小時,0~1小時,5~6小時,0~1小時,11304
2023/10/30 下午 1:21:58,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,80,2,4,4,4,3小時,0~1小時,0~1小時,5小時以上,6~8小時,1~2小時,11306
2023/10/30 下午 1:22:04,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,82,4,5,3,3,0小時,1~2小時,1~2小時,1~2小時,6~8小時,0~1小時,11309
2023/10/30 下午 1:22:04,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,95,4,4,1,3,2.5小時,3~4小時,3~4小時,0小時,6~8小時,0~1小時,
2023/10/30 下午 1:22:06,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,59,2,4,4,4,2小時,0~1小時,1~2小時,0~1小時,5~6小時,1~2小時,11319
2023/10/30 下午 1:22:07,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,92,4,5,1,3,0小時,1~2小時,0小時,0~1小時,6~8小時,1~2小時,11315
2023/10/30 下午 1:22:08,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,90,4,5,2,4,0小時,0~1小時,0小時,1~2小時,5~6小時,1~2小時,11313
2023/10/30 下午 1:22:09,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,72,5,5,3,4,0小時,5小時以上,0小時,0小時,6~8小時,1~2小時,11301
2023/10/30 下午 1:22:11,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,56,1,3,4,1,1小時以下,0~1小時,0小時,0小時,6~8小時,0~1小時,11321
2023/10/30 下午 1:22:19,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,93,4,4,3,3,2小時,0~1小時,1~2小時,0小時,6~8小時,0~1小時,11331
2023/10/30 下午 1:22:41,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,84,4,5,3,5,0小時,5小時以上,0小時,2~3小時,6~8小時,1~2小時,11333
2023/10/30 下午 1:22:43,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,84,3,4,3,4,0小時,2~3小時,0小時,0小時,8小時以上 🤔（？！）,0~1小時,
2023/10/30 下午 1:22:50,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,100,4,4,1,3,3.5小時,0~1小時,2~3小時,0小時,6~8小時,1~2小時,11332
2023/10/30 下午 1:23:01,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,45,3,5,2,2,0小時,2~3小時,0小時,0小時,6~8小時,1~2小時,
2023/10/30 下午 1:23:01,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,84,3,5,5,3,4小時,0~1小時,3~4小時,0小時,6~8小時,2~3小時,11311
2023/10/30 下午 1:23:05,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,76,5,5,2,4,3小時,1~2小時,0~1小時,0小時,6~8小時,0~1小時,11324
2023/10/30 下午 1:23:07,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,90,4,5,1,1,4小時,0~1小時,2~3小時,1~2小時,3~5小時,1~2小時,11336
2023/10/30 下午 1:23:07,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,27,2,5,2,1,0小時,0小時,0小時,0小時,5~6小時,0~1小時,11328
2023/10/30 下午 1:23:09,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,80,2,4,2,3,3小時,0~1小時,0~1小時,0~1小時,5~6小時,0~1小時,11304
2023/10/30 下午 1:23:26,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,88,5,5,1,1,4小時,0~1小時,1~2小時,0小時,6~8小時,1~2小時,
2023/10/30 下午 1:23:37,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,76,1,3,2,1,0小時,0~1小時,0小時,0小時,6~8小時,0~1小時,11307
2023/10/30 下午 1:23:54,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,83,4,3,4,3,3小時,3~4小時,3~4小時,0~1小時,8小時以上 🤔（？！）,1~2小時,新店高中11320田立昌
2023/10/30 下午 1:24:14,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,78,3,3,4,4,0小時,0小時,0小時,0小時,3~5小時,1~2小時,11302
2023/10/30 下午 1:24:25,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,85,4,5,1,4,0小時,2~3小時,0小時,4~5小時,8小時以上 🤔（？！）,0~1小時,11326
2023/10/30 下午 1:25:19,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,75,3,5,4,4,4小時,4~5小時,4~5小時,3~4小時,3~5小時,2~3小時,11312
2023/10/30 下午 1:26:37,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,81,4,5,3,4,3小時,1~2小時,1~2小時,0小時,3~5小時,0~1小時,11308
2023/10/30 下午 1:26:43,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,94,4,4,3,4,4小時,3~4小時,3~4小時,0~1小時,5~6小時,0~1小時,11325
2023/10/30 下午 2:02:24,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,88,4,4,3,4,3小時,0~1小時,0~1小時,0小時,3~5小時,1~2小時,
2023/10/30 下午 3:27:14,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,63,1,3,4,1,0小時,0小時,0小時,0~1小時,3~5小時,1~2小時,
2023/10/30 下午 3:27:25,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,91,2,4,3,3,2小時,1~2小時,0小時,0小時,5~6小時,0~1小時,10817
2023/10/30 下午 3:27:33,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,75,4,5,2,3,3.5小時,0~1小時,3~4小時,0~1小時,8小時以上 🤔（？！）,0~1小時,10832
2023/10/30 下午 3:27:50,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,83,3,3,2,2,0小時,1~2小時,0小時,1~2小時,6~8小時,0~1小時,10818
2023/10/30 下午 3:27:50,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,91,4,5,3,1,0小時,0小時,0小時,0小時,5~6小時,0~1小時,
2023/10/30 下午 3:27:56,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,83,2,5,4,3,3小時,2~3小時,2~3小時,0小時,5~6小時,0~1小時,10813
2023/10/30 下午 3:27:56,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,88,4,4,4,3,5小時以上 😵‍💫🤙,1~2小時,5小時以上,1~2小時,5~6小時,0~1小時,10819
2023/10/30 下午 3:27:57,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,20,1,5,4,1,0小時,0小時,0小時,2~3小時,6~8小時,0~1小時,10825
2023/10/30 下午 3:28:03,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,85,1,2,3,3,4小時,0~1小時,4~5小時,0小時,5~6小時,0~1小時,10811
2023/10/30 下午 3:28:05,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,63,4,5,3,3,0小時,1~2小時,0小時,0小時,6~8小時,0~1小時,
2023/10/30 下午 3:28:10,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,76,3,3,4,3,2小時,0~1小時,0~1小時,0~1小時,6~8小時,0~1小時,10807
2023/10/30 下午 3:28:11,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,57,1,5,4,2,3小時,3~4小時,3~4小時,1~2小時,5~6小時,0~1小時,10814
2023/10/30 下午 3:28:13,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,97,5,4,2,2,2小時,2~3小時,0~1小時,0~1小時,6~8小時,1~2小時,10816
2023/10/30 下午 3:28:15,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,29,1,2,4,1,2.5小時,0小時,2~3小時,0小時,5~6小時,2~3小時,10804
2023/10/30 下午 3:28:24,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,94,5,5,2,5,0小時,0~1小時,0小時,0小時,6~8小時,0~1小時,10837
2023/10/30 下午 3:28:32,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,37,3,4,3,3,1小時以下,0~1小時,0小時,0小時,6~8小時,0~1小時,10808
2023/10/30 下午 3:28:33,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,61,4,5,3,5,0小時,1~2小時,0小時,0小時,6~8小時,0~1小時,10803
2023/10/30 下午 3:28:43,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,91,4,5,4,4,3.5小時,1~2小時,3~4小時,1~2小時,6~8小時,0~1小時,10838
2023/10/30 下午 3:28:45,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,87,4,5,3,4,0小時,1~2小時,0~1小時,0~1小時,3~5小時,1~2小時,10827
2023/10/30 下午 3:28:48,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,91,4,5,3,3,0小時,1~2小時,0小時,1~2小時,6~8小時,1~2小時,10812
2023/10/30 下午 3:28:49,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,82,4,5,2,3,3.5小時,0~1小時,0~1小時,0小時,6~8小時,0~1小時,10826
2023/10/30 下午 3:28:53,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,19,1,4,4,1,0小時,0小時,0小時,1~2小時,8小時以上 🤔（？！）,1~2小時,10830
2023/10/30 下午 3:28:55,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,56,3,3,3,3,0小時,1~2小時,0小時,3~4小時,6~8小時,0~1小時,10822
2023/10/30 下午 3:28:58,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,85,5,3,3,4,0小時,0~1小時,0小時,5小時以上,5~6小時,1~2小時,10801
2023/10/30 下午 3:28:58,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,90,3,2,4,2,0小時,0~1小時,0小時,3~4小時,5~6小時,2~3小時,10809
2023/10/30 下午 3:29:00,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,93,4,5,3,3,3小時,1~2小時,1~2小時,1~2小時,6~8小時,1~2小時,10835
2023/10/30 下午 3:29:01,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,100,3,3,2,4,3小時,0~1小時,0~1小時,0小時,6~8小時,0~1小時,10810
2023/10/30 下午 3:29:09,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,86,3,4,5,5,0小時,0~1小時,0~1小時,0小時,5~6小時,0~1小時,10805
2023/10/30 下午 3:29:17,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,91,4,5,4,4,0小時,3~4小時,2~3小時,1~2小時,5~6小時,2~3小時,10829
2023/10/30 下午 3:29:17,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,94,4,5,2,3,2小時,0~1小時,1~2小時,0小時,6~8小時,0~1小時,10820
2023/10/30 下午 3:29:25,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,91,5,5,3,4,0小時,3~4小時,0小時,0~1小時,5~6小時,0~1小時,10836
2023/10/30 下午 3:29:30,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理女,79,3,3,1,3,0小時,2~3小時,2~3小時,5小時以上,5~6小時,0~1小時,10806
2023/10/30 下午 3:29:33,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,91,4,4,2,3,2小時,1~2小時,0~1小時,0小時,6~8小時,1~2小時,10821
2023/10/30 下午 3:29:46,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,76,2,4,3,4,3.5小時,0小時,0~1小時,0小時,5~6小時,0~1小時,10834
2023/10/30 下午 3:29:58,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,89,5,4,3,2,3小時,1~2小時,1~2小時,0小時,5~6小時,0~1小時,10828
2023/10/30 下午 3:30:00,高一（請以高一上學期第一次段考的成績及狀況回答表單）,生理男,72,3,4,4,4,0小時,0~1小時,0小時,5小時以上,6~8小時,1~2小時,10824
